"No.","Time","Source","Destination","Protocol","Length","Info"
"355","2.329729425","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=133383 Win=201344 Len=0"
"356","2.329842586","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"357","2.329852041","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=134843 Win=204288 Len=0"
"358","2.329958842","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=134843 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"359","2.329967311","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=136303 Win=207232 Len=0"
"360","2.330354892","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=136303 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"361","2.330364264","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=137763 Win=210176 Len=0"
"362","2.330467849","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=137763 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"363","2.330476676","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=139223 Win=213120 Len=0"
"364","2.331459219","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=139223 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"365","2.331470986","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=140683 Win=215936 Len=0"
"366","2.331977771","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=140683 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"367","2.331987436","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=142143 Win=218880 Len=0"
"368","2.332140445","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=142143 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"369","2.332149619","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=143603 Win=221824 Len=0"
"370","2.333302530","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=143603 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"371","2.333311897","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=145063 Win=224768 Len=0"
"372","2.333332133","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=145063 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"373","2.333338683","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=146523 Win=227712 Len=0"
"374","2.333351223","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=146523 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"375","2.333357594","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=147983 Win=230528 Len=0"
"376","2.333370011","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=147983 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"377","2.333376106","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=149443 Win=233472 Len=0"
"378","2.333388319","37.120.165.226","192.168.2.142","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"379","2.333394453","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=150903 Win=236416 Len=0"
"380","2.333894426","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=150903 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"381","2.333904375","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=152363 Win=239360 Len=0"
"382","2.333924763","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [PSH, ACK] Seq=152363 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"383","2.333931718","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=153823 Win=242304 Len=0"
"384","2.334057941","37.120.165.226","192.168.2.142","TCP","1514","443  >  45294 [ACK] Seq=153823 Ack=1104 Win=32512 Len=1460 [TCP segment of a reassembled PDU]"
"385","2.334065588","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=155283 Win=245120 Len=0"
"386","2.334108180","37.120.165.226","192.168.2.142","TLSv1.2","264","Application Data, Application Data"
"387","2.334115026","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1104 Ack=155493 Win=248064 Len=0"
"712","60.724945485","192.168.2.142","37.120.165.226","TLSv1.2","100","Application Data"
"713","60.725624676","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=155493 Ack=1150 Win=32512 Len=0"
"714","60.930141768","37.120.165.226","192.168.2.142","TLSv1.2","100","Application Data"
"715","60.930173167","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1150 Ack=155539 Win=248064 Len=0"
"748","76.838594925","192.168.2.142","37.120.165.226","TLSv1.2","100","Application Data"
"756","76.840624295","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=155539 Ack=1196 Win=32512 Len=0"
"795","76.910902079","192.168.2.142","37.120.165.226","TLSv1.2","85","Encrypted Alert"
"799","76.911058014","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [FIN, ACK] Seq=1227 Ack=155539 Win=248064 Len=0"
"801","76.911293277","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [ACK] Seq=155539 Ack=1227 Win=32512 Len=0"
"802","76.911302266","37.120.165.226","192.168.2.142","TCP","60","443  >  45294 [FIN, ACK] Seq=155539 Ack=1228 Win=32512 Len=0"
"803","76.911310238","192.168.2.142","37.120.165.226","TCP","54","45294  >  443 [ACK] Seq=1228 Ack=155540 Win=248064 Len=0"
